Column27,x_coord,y_coord,heights1
STOW0201,203233.205,445008.192,8.78314018249512
STOW0204,194633.895,440144.708,10.212739944458
STOW0256,210669.186,464175.003,
STOW0208,197351.416,443689.438,9.81569480895996
STOW0209,203233.205,445008.192,8.78314018249512
STOW0210,194633.895,440144.708,10.212739944458
STOW0257,210669.186,464175.003,
STOW1126,167380.865,435207.217,5.66453552246094
STOW1127,139523.048,425696.93,1.56972026824951
STOW1128,203705.187,487934.302,
STOW1129,205115.366,494427.18,0.55442476272583
ILPD0001,-8027675.202,4004748.567,
STOW0431,142561.121,417375.319,2.80986475944519
STOW0432,138513.906,417448.343,3.62067341804504
STOW0433,149636.197,424551.786,
STOW0434,146550.226,425188.017,3.31965136528015
STOW0435,166416.346,428033.997,
STOW0436,145817.265,425147.769,6.78352737426758
STOW0437,144250.952,424623.701,
STOW0438,195398.965,428909.604,9.36356639862061
STOW0422,174197.381,433772.241,8.08238697052002
STOW0423,172307.207,433281.715,6.51632165908813
STOW0424,171326.146,433484.445,8.95373058319092
STOW0426,169574.161,434116.123,9.20188045501709
STOW0427,153002.13,421574.246,3.61494088172913
STOW0428,147548.804,417879.602,
STOW0429,146875.985,417561.141,
STOW0430,145659.877,416885.2,
STOW0413,182778.883,431365.269,7.90551900863647
STOW0414,180530.239,432140.217,8.70096588134766
STOW0415,180293.439,432191.217,8.26175594329834
STOW0416,179472.152,432293.012,6.86041116714478
STOW0418,179469.612,432298.092,6.87396764755249
STOW0419,179354.283,432433.742,6.77911329269409
STOW0420,178396.505,432340.207,8.41901206970215
STOW0421,175871.066,433392.385,
STOW0405,159320.574,433757.604,9.50053024291992
STOW0406,156698.747,441650.761,5.59826469421387
STOW0407,155098.439,441634.573,7.46993732452393
STOW0408,149631.005,426666.032,3.78909993171692
STOW0409,148785.105,426469.374,3.56448817253113
STOW0410,133255.932,426756.025,1.5739609003067
STOW0411,183911.25,430765.324,9.08573246002197
STOW0412,183261.591,430962.556,10.9915866851807
STOW0397,141247.394,441188.522,4.05255317687988
STOW0398,167948.806,435636.442,7.90447330474854
STOW0399,167769.545,435514.841,5.74475145339966
STOW0400,167238.469,435155.289,
STOW0401,166412.434,435204.147,7.66115760803223
STOW0402,165126.435,435277.665,7.49711894989014
STOW0403,164226.139,435047.621,5.96740913391113
STOW0404,161905.718,434803.366,5.02752590179443
STOW0389,176005.261,434506.013,7.01473474502563
STOW0390,198621.438,433699.152,11.6456422805786
STOW0391,132755.982,421278.891,0.937252342700958
STOW0392,125533.289,425569.349,-0.620149850845337
STOW0393,122488.616,426035.626,-0.0587515197694302
STOW0394,145678.514,442454.107,5.75028419494629
STOW0395,143061.685,440821.774,1.68813133239746
STOW0396,142277.674,440795.443,
STOW0381,197252.74,433103.465,10.668848991394
STOW0382,188393.744,429699.926,10.0565166473389
STOW0383,187710.125,429815.62,
STOW0384,178045.393,433923.585,8.82031059265137
STOW0385,177705.734,433966.286,7.66195440292358
STOW0386,177557.265,434109.647,7.93549013137817
STOW0387,176620.99,434468.691,
STOW0388,176144.381,434495.582,7.8081955909729
STOW0253,197030.367,442963.321,10.0246877670288
STOW0254,197081.168,443041.902,10.3248424530029
STOW0279,196990.283,442901.407,9.85839748382568
STOW0343,170852.125,433741.774,7.62412166595459
STOW0352,147827.268,424261.76,3.54828667640686
STOW0354,166188.065,433277.084,8.29423999786377
STOW0373,162321.823,433005.322,6.58583688735962
STOW0380,167368.981,435197.99,6.33549976348877
STOW0245,197291.638,435971.929,11.1719264984131
STOW0246,195200.278,438332.208,10.7879981994629
STOW0247,195128.341,442074.162,9.5883150100708
STOW0248,201788.747,445791.252,7.78562688827515
STOW0249,202323.752,445800.136,7.87544012069702
STOW0250,204586.112,445420.161,9.49499988555908
STOW0251,206556.266,446294.774,8.91059112548828
STOW0252,204308.968,431998.95,16.2345008850098
STOW0194,197532.211,444271.278,10.5524835586548
STOW0195,197544.5,444302.536,10.5881080627441
STOW0196,197548.24,444309.748,10.5529909133911
STOW0197,197554.384,444328.448,10.7024240493774
STOW0198,201389.962,445157.538,11.0676002502441
STOW0225,195300.62,438289.442,11.4558610916138
STOW0243,199886.623,433414.868,11.8979005813599
STOW0244,198444.764,435316.359,
